,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
NBFCIN0002052T,Q2,FY20,Microfinance,NBFC,Microfinance Loan,15900,5508,32,487600,N,M
NBFCIN0001142,Q2,FY21,Microfinance,NBFC,Microfinance Loan,17120,5580,48,880542,Y,M
NBFCIN0002052,Q2,FY20,Microfinance,NBFC,Microfinance Loan,16160,4120,33,709410,Y,M
NBFCIN000264,Q2,FY20,Microfinance,NBFC,Microfinance Loan,16320,5332,51,640310,N,M
NBFCIN000187,Q2,FY21,Microfinance,NBFC,Microfinance Loan,18540,6163,49,580261,Y,F
NBFCIN000433,Q2,FY19,Microfinance,NBFC,Microfinance Loan,24610,7203,52,674032,N,M
NBFCIN0002116,Q2,FY19,Microfinance,NBFC,Microfinance Loan,24720,6614,36,878800,N,M
NBFCIN000680,Q2,FY19,Microfinance,NBFC,Microfinance Loan,27250,7725,57,654360,N,M
NBFCIN0002064O,Q2,FY19,Microfinance,NBFC,Microfinance Loan,26260,9282,37,1057470,N,M
NBFCIN000212,Q2,FY20,Microfinance,NBFC,Microfinance Loan,26520,8923,34,472084,N,F
NBFCIN00021,Q2,FY19,Microfinance,NBFC,Microfinance Loan,29960,7938,40,275812,N,M
NBFCIN000582,Q2,FY21,Microfinance,NBFC,Microfinance Loan,32640,9228,28,658944,N,M
NBFCIN0002235,Q2,FY20,Microfinance,NBFC,Microfinance Loan,33660,10741,34,652698,Y,M
NBFCIN0002241,Q2,FY21,Microfinance,NBFC,Microfinance Loan,34650,10071,42,683975,N,M
NBFCIN0001287,Q2,FY21,Microfinance,NBFC,Microfinance Loan,36720,9822,35,836955,N,F
NBFCIN000576,Q2,FY19,Microfinance,NBFC,Microfinance Loan,36380,9805,46,222796,Y,F
NBFCIN00084,Q2,FY21,Microfinance,NBFC,Microfinance Loan,36720,12362,30,453310,N,M
NBFCIN0002202,Q2,FY21,Microfinance,NBFC,Microfinance Loan,35350,12495,32,794580,N,F
NBFCIN0002252,Q2,FY20,Microfinance,NBFC,Microfinance Loan,37800,12320,23,222099,N,M
NBFCIN000797,Q2,FY20,Microfinance,NBFC,Microfinance Loan,37450,12733,55,1193220,N,F
NBFCIN000802,Q2,FY21,Microfinance,NBFC,Microfinance Loan,37100,10251,47,248026,Y,F
NBFCIN0001413,Q2,FY20,Microfinance,NBFC,Microfinance Loan,40700,11373,39,1338444,N,M
NBFCIN000518,Q2,FY21,Microfinance,NBFC,Microfinance Loan,46920,15014,54,913290,Y,M
NBFCIN0002270,Q2,FY21,Microfinance,NBFC,Microfinance Loan,51230,14382,50,712858,Y,M
NBFCIN000848,Q2,FY19,Microfinance,NBFC,Microfinance Loan,49490,13886,31,1099265,Y,F
NBFCIN000854,Q2,FY19,Microfinance,NBFC,Microfinance Loan,57200,16286,37,909268,N,F
NBFCIN0002258,Q2,FY20,Microfinance,NBFC,Microfinance Loan,60990,20691,30,760512,N,M
NBFCIN0002417,Q2,FY19,Microfinance,NBFC,Microfinance Loan,57570,21546,36,739020,Y,M
NBFCIN000277,Q2,FY20,Microfinance,NBFC,Microfinance Loan,77390,25773,54,1106241,N,M
NBFCIN0001100,Q2,FY21,Microfinance,NBFC,Microfinance Loan,83200,27456,28,1117368,N,F
NBFCIN0001098,Q2,FY19,Microfinance,NBFC,Microfinance Loan,85050,25029,31,845748,Y,F
NBFCIN000425,Q2,FY19,Microfinance,NBFC,Microfinance Loan,93090,31667,26,669460,N,F
NBFCIN000400,Q2,FY21,Microfinance,NBFC,Microfinance Loan,90640,25898,51,424112,Y,M
NBFCIN000998S,Q2,FY19,Microfinance,NBFC,Microfinance Loan,98280,35053,56,515266,N,M
NBFCIN000323,Q2,FY20,Microfinance,NBFC,Microfinance Loan,101650,30210,29,832760,Y,M
NBFCIN000401,Q2,FY19,Microfinance,NBFC,Microfinance Loan,104760,30972,54,515592,Y,M
NBFCIN000411W,Q2,FY21,Microfinance,NBFC,Microfinance Loan,110160,30542,52,1043675,N,M
NBFCIN000489,Q2,FY20,Microfinance,NBFC,Microfinance Loan,126140,36057,45,266968,N,M
NBFCIN000283,Q2,FY20,Microfinance,NBFC,Microfinance Loan,128750,42400,49,463845,Y,M
PVT00MICROV635,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,5100,1680,25,812175,N,M
PVT00MICROV1351,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,7560,2441,58,609855,N,M
PVT00MICROV2320,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,7420,2899,35,690203,N,M
PVT00MICROV2194,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,16200,5565,40,840474,N,F
PVT00MICROV503,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,16350,6678,35,849764,N,M
PVT00MICROV1310,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,16960,7257,24,472175,Y,F
PVT00MICROV1524,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,17600,7654,45,639229,N,M
PVT00MICROV2100,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,17120,8272,52,945248,N,M
PVT00MICROV254,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,16480,6048,39,1314040,Y,F
PVT00MICROV750,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,16480,8545,51,1120020,N,F
PVT00MICROV154,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,18530,6730,44,850408,N,M
PVT00MICROV582,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,18020,6961,49,520047,N,M
PVT00MICROV1845,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,18360,6732,37,1135780,N,F
PVT00MICROV352,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,19080,9172,36,675688,N,F
